SYMBOL,PROBEID,training_probe_mean,training_probe_mean_hex,n_probes_gene,map_hash,training_sample_hash,training_n,analysis_key
ABCA11P,220159_at,5.07438149682024,hex:0x1.44c2aa9c114f8p+2,1,07498f0a9537a0529b8a35c5f61cf6e21cfffa8de300b3eae0f22dea7c458a53,bdef59e3884cdfb47b39c178f4c6ce229f40636b127f9ed19d9a84de360fbfe7,573,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
ABCA12,215465_at,2.9556723520192,hex:0x1.7a5378bcce92bp+1,1,07498f0a9537a0529b8a35c5f61cf6e21cfffa8de300b3eae0f22dea7c458a53,bdef59e3884cdfb47b39c178f4c6ce229f40636b127f9ed19d9a84de360fbfe7,573,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
ABCA13,1553605_a_at,2.66815313800175,hex:0x1.55860ac237f88p+1,3,07498f0a9537a0529b8a35c5f61cf6e21cfffa8de300b3eae0f22dea7c458a53,bdef59e3884cdfb47b39c178f4c6ce229f40636b127f9ed19d9a84de360fbfe7,573,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
ABCA17P,231164_at,3.53536024269285,hex:0x1.c486af36f8e1dp+1,1,07498f0a9537a0529b8a35c5f61cf6e21cfffa8de300b3eae0f22dea7c458a53,bdef59e3884cdfb47b39c178f4c6ce229f40636b127f9ed19d9a84de360fbfe7,573,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
ABCA2,212772_s_at,6.68173048870506,hex:0x1.aba178ea6b285p+2,3,07498f0a9537a0529b8a35c5f61cf6e21cfffa8de300b3eae0f22dea7c458a53,bdef59e3884cdfb47b39c178f4c6ce229f40636b127f9ed19d9a84de360fbfe7,573,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
ABCA3,204343_at,5.95569843848866,hex:0x1.7d2a29c889693p+2,1,07498f0a9537a0529b8a35c5f61cf6e21cfffa8de300b3eae0f22dea7c458a53,bdef59e3884cdfb47b39c178f4c6ce229f40636b127f9ed19d9a84de360fbfe7,573,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
ABCA4,210082_at,4.76918904335079,hex:0x1.313a64ae68858p+2,2,07498f0a9537a0529b8a35c5f61cf6e21cfffa8de300b3eae0f22dea7c458a53,bdef59e3884cdfb47b39c178f4c6ce229f40636b127f9ed19d9a84de360fbfe7,573,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
ABCA5,213353_at,6.68363931585515,hex:0x1.abc0bf1df6e43p+2,2,07498f0a9537a0529b8a35c5f61cf6e21cfffa8de300b3eae0f22dea7c458a53,bdef59e3884cdfb47b39c178f4c6ce229f40636b127f9ed19d9a84de360fbfe7,573,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
ABCA6,217504_at,2.93867536043281,hex:0x1.782683a34f59ep+1,1,07498f0a9537a0529b8a35c5f61cf6e21cfffa8de300b3eae0f22dea7c458a53,bdef59e3884cdfb47b39c178f4c6ce229f40636b127f9ed19d9a84de360fbfe7,573,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
ABCA7,219577_s_at,5.78506229601571,hex:0x1.723e75edad72dp+2,1,07498f0a9537a0529b8a35c5f61cf6e21cfffa8de300b3eae0f22dea7c458a53,bdef59e3884cdfb47b39c178f4c6ce229f40636b127f9ed19d9a84de360fbfe7,573,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
ABCA8,204719_at,4.06414057446771,hex:0x1.041ae1116bdefp+2,3,07498f0a9537a0529b8a35c5f61cf6e21cfffa8de300b3eae0f22dea7c458a53,bdef59e3884cdfb47b39c178f4c6ce229f40636b127f9ed19d9a84de360fbfe7,573,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
ABCA9,242541_at,3.36126782739267,hex:0x1.ae3e062fdfce9p+1,3,07498f0a9537a0529b8a35c5f61cf6e21cfffa8de300b3eae0f22dea7c458a53,bdef59e3884cdfb47b39c178f4c6ce229f40636b127f9ed19d9a84de360fbfe7,573,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
ABCB1,209993_at,6.35736291164747,hex:0x1.96df08b09511fp+2,2,07498f0a9537a0529b8a35c5f61cf6e21cfffa8de300b3eae0f22dea7c458a53,bdef59e3884cdfb47b39c178f4c6ce229f40636b127f9ed19d9a84de360fbfe7,573,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
ABCB10,223320_s_at,7.39242502735079,hex:0x1.d91d7ddca6a03p+2,1,07498f0a9537a0529b8a35c5f61cf6e21cfffa8de300b3eae0f22dea7c458a53,bdef59e3884cdfb47b39c178f4c6ce229f40636b127f9ed19d9a84de360fbfe7,573,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
ABCB11,211224_s_at,4.11147802817278,hex:0x1.072274bd4e607p+2,2,07498f0a9537a0529b8a35c5f61cf6e21cfffa8de300b3eae0f22dea7c458a53,bdef59e3884cdfb47b39c178f4c6ce229f40636b127f9ed19d9a84de360fbfe7,573,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
ABCB4,207819_s_at,4.23175106819023,hex:0x1.0ed5026eac2a7p+2,2,07498f0a9537a0529b8a35c5f61cf6e21cfffa8de300b3eae0f22dea7c458a53,bdef59e3884cdfb47b39c178f4c6ce229f40636b127f9ed19d9a84de360fbfe7,573,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
ABCB5,1555371_at,4.69045815035602,hex:0x1.2c307761c249ep+2,4,07498f0a9537a0529b8a35c5f61cf6e21cfffa8de300b3eae0f22dea7c458a53,bdef59e3884cdfb47b39c178f4c6ce229f40636b127f9ed19d9a84de360fbfe7,573,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
ABCB6,203192_at,6.2530366074171,hex:0x1.9031c07463062p+2,2,07498f0a9537a0529b8a35c5f61cf6e21cfffa8de300b3eae0f22dea7c458a53,bdef59e3884cdfb47b39c178f4c6ce229f40636b127f9ed19d9a84de360fbfe7,573,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
ABCB7,209620_s_at,7.77023542560035,hex:0x1.f14b8986cb252p+2,1,07498f0a9537a0529b8a35c5f61cf6e21cfffa8de300b3eae0f22dea7c458a53,bdef59e3884cdfb47b39c178f4c6ce229f40636b127f9ed19d9a84de360fbfe7,573,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
ABCB8,206317_s_at,5.45515729811344,hex:0x1.5d214c137bb54p+2,2,07498f0a9537a0529b8a35c5f61cf6e21cfffa8de300b3eae0f22dea7c458a53,bdef59e3884cdfb47b39c178f4c6ce229f40636b127f9ed19d9a84de360fbfe7,573,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
ABCB9,1555323_at,5.04627017082374,hex:0x1.42f617299df83p+2,3,07498f0a9537a0529b8a35c5f61cf6e21cfffa8de300b3eae0f22dea7c458a53,bdef59e3884cdfb47b39c178f4c6ce229f40636b127f9ed19d9a84de360fbfe7,573,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
ABCC1,202804_at,8.37931918768761,hex:0x1.0c2361fe3ba25p+3,2,07498f0a9537a0529b8a35c5f61cf6e21cfffa8de300b3eae0f22dea7c458a53,bdef59e3884cdfb47b39c178f4c6ce229f40636b127f9ed19d9a84de360fbfe7,573,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
ABCC10,213485_s_at,7.5366676130192,hex:0x1.e258c31daf598p+2,2,07498f0a9537a0529b8a35c5f61cf6e21cfffa8de300b3eae0f22dea7c458a53,bdef59e3884cdfb47b39c178f4c6ce229f40636b127f9ed19d9a84de360fbfe7,573,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
ABCC11,1554911_at,4.47393820228796,hex:0x1.1e5500e5c9b75p+2,2,07498f0a9537a0529b8a35c5f61cf6e21cfffa8de300b3eae0f22dea7c458a53,bdef59e3884cdfb47b39c178f4c6ce229f40636b127f9ed19d9a84de360fbfe7,573,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
ABCC12,1553410_a_at,3.42315454639093,hex:0x1.b629ed9cf38cep+1,2,07498f0a9537a0529b8a35c5f61cf6e21cfffa8de300b3eae0f22dea7c458a53,bdef59e3884cdfb47b39c178f4c6ce229f40636b127f9ed19d9a84de360fbfe7,573,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
ABCC13,233371_at,4.22242914499127,hex:0x1.0e3c4773da8b8p+2,4,07498f0a9537a0529b8a35c5f61cf6e21cfffa8de300b3eae0f22dea7c458a53,bdef59e3884cdfb47b39c178f4c6ce229f40636b127f9ed19d9a84de360fbfe7,573,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
ABCC2,206155_at,4.1482978732199,hex:0x1.097db65ce2ee7p+2,1,07498f0a9537a0529b8a35c5f61cf6e21cfffa8de300b3eae0f22dea7c458a53,bdef59e3884cdfb47b39c178f4c6ce229f40636b127f9ed19d9a84de360fbfe7,573,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
ABCC3,208161_s_at,8.76357993025305,hex:0x1.186f3f2d8a33dp+3,5,07498f0a9537a0529b8a35c5f61cf6e21cfffa8de300b3eae0f22dea7c458a53,bdef59e3884cdfb47b39c178f4c6ce229f40636b127f9ed19d9a84de360fbfe7,573,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
