gene,selected_folds,frequency,positive_folds,negative_folds,zero_folds,modal_sign,sign_consistency,coefficient_mean,coefficient_sd,coefficient_median,coefficient_min,coefficient_max,analysis_key
PRRX2,2,0.04,2,0,0,positive,1,0.155408754115829,0.0102346595621066,0.155408754115829,0.148171756936328,0.16264575129533,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
SIX4,2,0.04,2,0,0,positive,1,0.201064023040419,0.0308577411374825,0.201064023040419,0.179244305030006,0.222883741050832,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
THUMPD3,2,0.04,0,2,0,negative,1,-0.245327569141008,0.120553859245423,-0.245327569141008,-0.330572020511655,-0.160083117770361,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
TIMM13,2,0.04,0,2,0,negative,1,-0.222571617189564,0.0103162859126984,-0.222571617189564,-0.229866332915092,-0.215276901464036,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
PPFIBP2,2,0.04,1,1,0,positive,0.5,0.0492864249361161,0.173064576235101,0.0492864249361161,-0.0730887105028997,0.171661560375132,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
AGMAT,1,0.02,1,0,0,positive,1,0.189255186977557,,0.189255186977557,0.189255186977557,0.189255186977557,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
AQP11,1,0.02,0,1,0,negative,1,-0.154869703212491,,-0.154869703212491,-0.154869703212491,-0.154869703212491,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
CAPN13,1,0.02,0,1,0,negative,1,-0.243197236758306,,-0.243197236758306,-0.243197236758306,-0.243197236758306,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
CERS6,1,0.02,0,1,0,negative,1,-0.159724503821664,,-0.159724503821664,-0.159724503821664,-0.159724503821664,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
CHPT1,1,0.02,0,1,0,negative,1,-0.218429171766181,,-0.218429171766181,-0.218429171766181,-0.218429171766181,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
CNPY4,1,0.02,1,0,0,positive,1,0.205869786060091,,0.205869786060091,0.205869786060091,0.205869786060091,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
COX11,1,0.02,0,1,0,negative,1,-0.263912528830007,,-0.263912528830007,-0.263912528830007,-0.263912528830007,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
CYP2S1,1,0.02,0,1,0,negative,1,-0.197308668037992,,-0.197308668037992,-0.197308668037992,-0.197308668037992,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
DBI,1,0.02,0,1,0,negative,1,-0.177569943145905,,-0.177569943145905,-0.177569943145905,-0.177569943145905,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
EHD2,1,0.02,0,1,0,negative,1,-0.282168767576693,,-0.282168767576693,-0.282168767576693,-0.282168767576693,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
ELL3,1,0.02,0,1,0,negative,1,-0.221351948317449,,-0.221351948317449,-0.221351948317449,-0.221351948317449,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
EPHB2,1,0.02,0,1,0,negative,1,-0.144149021179575,,-0.144149021179575,-0.144149021179575,-0.144149021179575,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
ERAP1,1,0.02,0,1,0,negative,1,-0.216626755050612,,-0.216626755050612,-0.216626755050612,-0.216626755050612,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
ERBB3,1,0.02,0,1,0,negative,1,-0.186989169252055,,-0.186989169252055,-0.186989169252055,-0.186989169252055,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
