gene,selected_folds,frequency,positive_folds,negative_folds,zero_folds,modal_sign,sign_consistency,coefficient_mean,coefficient_sd,coefficient_median,coefficient_min,coefficient_max,analysis_key
FGF19,1,0.02,1,0,0,positive,1,0.210409777392528,,0.210409777392528,0.210409777392528,0.210409777392528,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
FZD5,1,0.02,1,0,0,positive,1,0.354641176151351,,0.354641176151351,0.354641176151351,0.354641176151351,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
GLIS3,1,0.02,1,0,0,positive,1,0.178045897165857,,0.178045897165857,0.178045897165857,0.178045897165857,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
GSS,1,0.02,0,1,0,negative,1,-0.136868077928849,,-0.136868077928849,-0.136868077928849,-0.136868077928849,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
HOXB2,1,0.02,1,0,0,positive,1,0.189574523243272,,0.189574523243272,0.189574523243272,0.189574523243272,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
IL17RB,1,0.02,0,1,0,negative,1,-0.172560206189085,,-0.172560206189085,-0.172560206189085,-0.172560206189085,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
LIPG,1,0.02,0,1,0,negative,1,-0.197842601077209,,-0.197842601077209,-0.197842601077209,-0.197842601077209,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
LRRC4C,1,0.02,1,0,0,positive,1,0.161074987770008,,0.161074987770008,0.161074987770008,0.161074987770008,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
MAP1B,1,0.02,0,1,0,negative,1,-0.0606601023580324,,-0.0606601023580324,-0.0606601023580324,-0.0606601023580324,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
MYB,1,0.02,0,1,0,negative,1,-0.0508870107529607,,-0.0508870107529607,-0.0508870107529607,-0.0508870107529607,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
MYLK3,1,0.02,1,0,0,positive,1,0.325422128640582,,0.325422128640582,0.325422128640582,0.325422128640582,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
MYO5B,1,0.02,0,1,0,negative,1,-0.0862338272051601,,-0.0862338272051601,-0.0862338272051601,-0.0862338272051601,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
NEURL3,1,0.02,0,1,0,negative,1,-0.332880807390362,,-0.332880807390362,-0.332880807390362,-0.332880807390362,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
