inner_fold,lambda_ratio,c_index,n_train,events_train,n_valid,events_valid,n_genes,model_fingerprint
3,0.00374038810036779,0.542120551924474,458,152,115,38,30,bbe4be80a29013baf62cc35e2d5028c74c3868bf95ade5ce3d57f117ca081fb9
3,0.00287298483335367,0.542120551924474,458,152,115,38,30,1e5b6ad8778db5618a7e3f8345aed79bb0fc70d032c0797c981dcda6aeb1ef23
3,0.00220673406908459,0.542120551924474,458,152,115,38,30,ed15b93cf9625e3b078c1e96185bad4830f722e929b10712cfd80d04504a65f1
3,0.00169498815139035,0.542120551924474,458,152,115,38,30,494f5bda512f9a16399cd56eb3d3c84441e1b616d67247864286b07c087093f7
3,0.00130191710619008,0.542120551924474,458,152,115,38,30,8f4b6945df02aaf5b29fc866e36cda1c9eeae35479565c6e717f12bb1ed7f439
3,0.001,0.542120551924474,458,152,115,38,30,9e2b6c0c6374faea4630ac6e3633f00b8ab45cec67b86a7024303920b60bbc25
4,0.562341325190349,0.587593728698023,459,152,114,38,9,3cfbb4ee81a06e7c5c4ba16d044f6b01d97e87d13bc268f2721bf581c7cd23a0
4,0.431933279405154,0.573619631901841,459,152,114,38,10,f4c2105e47bd3d01b5ac16d0378c98b2213cbc14c2b76a3e10b41c7b0b82ee13
4,0.331767112784286,0.573619631901841,459,152,114,38,10,cf7620aa4df899988d14877248468949588ab1221e265fcedf5d30c82af51a8d
4,0.254829674797935,0.573619631901841,459,152,114,38,10,0de6065c9b17d5946b1b91896f742df23bf326275ecaf532795823a347418cbd
4,0.195734178148766,0.574642126789366,459,152,114,38,11,cf8b886b7aa1c06dae7c23721146b308cb5ebcc0386385ac77a538265596a7ec
4,0.150343041978733,0.574301295160191,459,152,114,38,12,dca066607e727b81a731d61a4597fad5468c15bf49803bb9b88ec0d558c4dcd9
4,0.115478198468946,0.578050443081118,459,152,114,38,13,b266ccf7cf5915265a8c3f1a026c162141369b5b211a7fb5713ab2648637519e
4,0.0886985799018192,0.56305385139741,459,152,114,38,16,0b3b11f29b7391b909642d38d0354ce6e629f9f5c657c2ef3497f0e792c07ceb
4,0.0681292069057962,0.566802999318337,459,152,114,38,19,bc296646a6fed94a965212fd3b87559e1b9597d9f71ab6edef01537c967e3c71
4,0.0523299114681495,0.566802999318337,459,152,114,38,19,c9014664876e1f52f92644184701341d5a534b7ac29dbf2b7f7f355cf499a73a
4,0.0401945033361513,0.565439672801636,459,152,114,38,20,36066cbebe33318e7e3ce518979b7e387c27c3d27fd46b1aec26db1e4cba2456
4,0.0308733199257026,0.564417177914111,459,152,114,38,22,03c4776a82f733703a11ab1d8226115a225594dee09eef960863e19c150c03e0
4,0.0237137370566166,0.562031356509884,459,152,114,38,26,4b9b5255615f748ec8877f19d4508ba8d340ef255dc1b506b90f1dbc6fc87dee
4,0.0182144753639595,0.571574642126789,459,152,114,38,28,8714bd2efb01088dc081ef8e3ed40b8ec9c38858e7e55a052802a964777fde99
4,0.0139905031413729,0.570552147239264,459,152,114,38,29,9d43997b988e24c30cb9c747b53362cdfb96b90d6d0d9d40db33600b7d842c7f
4,0.0107460782832132,0.570552147239264,459,152,114,38,29,8e2c0b62b9c9809d99863ae92ea576ff0fc703726ded311a7c572119aa038067
4,0.00825404185268019,0.564758009543286,459,152,114,38,30,6ca41f860b8a6c17575b6f929e5b70f9ca601d7169694f858ce854f8265bea3a
4,0.00633991351172485,0.564758009543286,459,152,114,38,30,f476a174d09847e401eb6454126707eb2a0a87ed9fefc4a94b3bbf82f932ea00
4,0.00486967525165863,0.564758009543286,459,152,114,38,30,f1e626c2dd95693ac087ee342982d60a3784090e5e4cd88430e79a1d2a95a94b
4,0.00374038810036779,0.564758009543286,459,152,114,38,30,04c7600078d74e423380b4c6d370af889d6a85789251b07ad2e11eaf9f193891
4,0.00287298483335367,0.564758009543286,459,152,114,38,30,221a1449718440770364990a1a05cbb704c953f3fc5fda065746828e17ae0b57
4,0.00220673406908459,0.564758009543286,459,152,114,38,30,0c7386893a507f577d698370c04972186ff2853f51fd8d56b0a8b155023e80ca
4,0.00169498815139035,0.564758009543286,459,152,114,38,30,61116b427df05573a0dfb316a3490ff5c0052515269831214249494aec70d43d
4,0.00130191710619008,0.564758009543286,459,152,114,38,30,05e7b6c8027d068b0d01de615c65e5a7c19cd67c0f7ee45f5dc2afe94f83ae77
