lambda_ratio,mean_c_index,sd_c_index,se_c_index,min_c_index,max_c_index,inner_folds,best_mean,one_se_eligible,selected,one_se_threshold,repeat_id,outer_fold,analysis_key
0.115478198468946,0.601050367024465,0.0526293424386344,0.0235365574607802,0.542824730572887,0.653305570015617,5,FALSE,TRUE,FALSE,0.575686409655766,1,3,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
0.0886985799018192,0.599569287424771,0.0609196062764767,0.0272440761593449,0.522972206466251,0.653305570015617,5,FALSE,TRUE,FALSE,0.575686409655766,1,3,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
0.0681292069057962,0.601904185834414,0.0646088211006217,0.0288939431854226,0.521270561542825,0.666666666666667,5,FALSE,TRUE,FALSE,0.575686409655766,1,3,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
0.0523299114681495,0.600003071859781,0.0697955407833806,0.0312135147435996,0.511060692002269,0.673622257891921,5,FALSE,TRUE,FALSE,0.575686409655766,1,3,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
0.0401945033361513,0.598294993037233,0.0728815715398151,0.0325936296540081,0.501985252410664,0.674157303370787,5,FALSE,TRUE,FALSE,0.575686409655766,1,3,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
0.0308733199257026,0.596548776506384,0.0725998498473341,0.0324676398829833,0.501985252410664,0.674157303370787,5,FALSE,TRUE,FALSE,0.575686409655766,1,3,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
0.0237137370566166,0.597002548485964,0.0718644004294909,0.0321387369045214,0.504254112308565,0.674157303370787,5,FALSE,TRUE,FALSE,0.575686409655766,1,3,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
0.0182144753639595,0.597608392186873,0.0735834154996319,0.0329075038147577,0.499716392512762,0.674157303370787,5,FALSE,TRUE,FALSE,0.575686409655766,1,3,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
0.0139905031413729,0.59452849681664,0.074068192121342,0.033124302510767,0.492342597844583,0.666131621187801,5,FALSE,TRUE,FALSE,0.575686409655766,1,3,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
0.0107460782832132,0.593030369475816,0.0723128101790998,0.0323392718409012,0.492342597844583,0.658640984483681,5,FALSE,TRUE,FALSE,0.575686409655766,1,3,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
0.00825404185268019,0.593030369475816,0.0723128101790998,0.0323392718409012,0.492342597844583,0.658640984483681,5,FALSE,TRUE,FALSE,0.575686409655766,1,3,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
0.00633991351172485,0.593030369475816,0.0723128101790998,0.0323392718409012,0.492342597844583,0.658640984483681,5,FALSE,TRUE,FALSE,0.575686409655766,1,3,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
0.00486967525165863,0.59078317846458,0.0698984469962321,0.0312595358010482,0.492342597844583,0.656949505465903,5,FALSE,TRUE,FALSE,0.575686409655766,1,3,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
0.00374038810036779,0.59078317846458,0.0698984469962321,0.0312595358010482,0.492342597844583,0.656949505465903,5,FALSE,TRUE,FALSE,0.575686409655766,1,3,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
0.00287298483335367,0.59078317846458,0.0698984469962321,0.0312595358010482,0.492342597844583,0.656949505465903,5,FALSE,TRUE,FALSE,0.575686409655766,1,3,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
0.00220673406908459,0.59078317846458,0.0698984469962321,0.0312595358010482,0.492342597844583,0.656949505465903,5,FALSE,TRUE,FALSE,0.575686409655766,1,3,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
0.00169498815139035,0.59078317846458,0.0698984469962321,0.0312595358010482,0.492342597844583,0.656949505465903,5,FALSE,TRUE,FALSE,0.575686409655766,1,3,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
